Title,Authors,Date of Publication,Research Area Tags,Link to paper
"A Strong Adaptive Strategic Double-spending Attack on Blockchains","","August 2, 2018","","http://cse.stfx.ca/~cybermatics/2018/Proceedings/pdfs/iThings!GreenCom!CPSCom!SmartData!Blockchain!CIT!Cybermatics2018-1Q1rrimpxFNyCxx89cHrQN/5NoY0Vs7OfzWdQLxuu94i2/65kbUDS3mrmZbziXv0cN68.pdf"
"Self-Organized Governance in Blockchain-based Tokenized Markets","Ning Nan, Chris Rowell","July 8, 2018","","https://journals.aom.org/doi/abs/10.5465/AMBPP.2018.15695symposium"
"Digital Ledger Technology: How Blockchain is Changing Organizations and Markets","Aija Leiponen, Llewelly Thomas, Christian Catalini, Hanna Halaburda, Kevin Werbach","July 7, 2018","","https://journals.aom.org/doi/10.5465/AMBPP.2018.16585symposium"
"A Million Ways to DAO: Identifying and Preventing Smart Contract Security Risks","Victoria Lemieux","May 10, 2018","","https://slais.ubc.ca/2018/05/ischool-presence-at-ubc-cybersecurity-summit/"
"The Future of Archives as Networked, Decentralized, Autonomous and Global.","Victoria Lemieux","April 30, 2018","","https://www.alastore.ala.org/content/archival-futures"
"Quasi-cyclic multi-edge LDPC codes for long-distance quantum cryptography","Chen Feng, Mario Milicevic, Glenn Gulak, Lei Zhang","April 26, 2018","","https://www.nature.com/articles/s41534-018-0070-6"
"A Typology of Blockchain Recordkeeping Solutions and Some Reflections on their Implications for the Future of Archival Preservation","Victoria Lemieux","December 12, 2017","","http://dcicblog.umd.edu/cas/wp-content/uploads/sites/13/2017/06/Lemieux.pdf"
"Evaluating the Use of Blockchain in Land Transactions: An Archival Science Perspective","Victoria Lemieux","December 6, 2017","","https://doi.org/10.1515/eplj-2017-0019"
"Blockchain Recordkeeping: A SWOT Analysis","Victoria Lemieux","November 29, 2017","","https://slais.ubc.ca/2018/11/dr-lemieux-wins-literary-award-for-blockchain-article/"
"Blockchain and Distributed Ledgers as Trusted Recordkeeping Systems: An Archival Theoretic Evaluation Framework","Victoria Lemieux","November 16, 2017","","https://www.researchgate.net/publication/317433591_Blockchain_and_Distributed_Ledgers_as_Trusted_Recordkeeping_Systems_An_Archival_Theoretic_Evaluation_Framework"
"Blockchain-Empowered Fair Computational Resource Sharing System in the D2D Network","Zehua (David) Wang, Zhen Hong, Wei Cai","November 16, 2017","","https://www.mdpi.com/1999-5903/9/4/85"
